strategie,cagr,sharpe,max_dd,final,annual_2020,annual_2021,annual_2022,annual_2023,annual_2024,annual_2025,annual_2026
Equal-Weight (A+B+C+G),41.41,1.13,-31.27,33649.07,46.1,191.9,-16.3,53.4,15.0,23.4,3.8
Bot Z — Régime pur,50.13,1.34,-26.1,48615.83,53.7,218.5,-11.8,59.1,22.8,31.6,4.5
Hybride 70/30 (Base+Bot Z),40.21,1.23,-25.94,31936.19,42.5,174.1,-12.5,49.7,16.3,24.4,3.7
Bot Z Enhanced (MO + CB),55.45,1.55,-19.33,60217.09,53.7,268.8,-9.4,65.8,24.5,32.0,3.3
Bot Z Pro (VT+AS+CS+CB),28.79,1.71,-11.26,18939.13,32.4,95.1,-7.0,35.5,15.7,22.3,0.6
Bot Z Adaptive (E/B/P),26.18,1.27,-14.66,16701.59,26.5,107.8,-8.8,27.5,14.1,17.1,0.2
Bot Z Omega (ER+Risk+Corr),55.04,1.81,-11.25,59246.81,51.6,327.9,0.0,44.7,19.7,27.1,1.6
Bot Z Omega v2 (RP+ML),25.85,2.02,-7.59,14539.17,19.2,111.2,-0.3,19.0,8.0,10.8,0.9
Bot Z Meta (E/Ω/Ω2/P),37.72,1.47,-14.49,24105.81,25.6,173.5,1.0,46.0,1.2,11.6,2.1
Bot Z Meta v2 (scored),40.5,1.55,-10.34,26967.85,20.4,178.7,0.6,54.0,7.1,16.3,1.0
