bot,strategy,period,cagr_pct,sharpe,max_dd_pct,trades,win_rate_pct,final_eur,profit_factor
A,Bot A — Supertrend+MR,2016-2026,49.3,2.43,-68.3,452,43.8,55008.0,2.72
B,Bot B — Momentum,2016-2026,36.8,0.77,-67.8,365,19.2,23097.0,1.66
C,Bot C — Breakout,2016-2026,0.6,0.21,-7.8,199,40.2,1057.0,1.07
G,Bot G — Trend Multi-Asset,2016-2026,23.4,0.65,-22.6,289,54.3,8179.0,4.5
J,Bot J — Mean Reversion,2016-2026,2.1,1.45,-3.5,326,69.9,1219.0,1.78
Z-EQUAL_WEIGHT,Equal-Weight A+B+C+G,2016-2026,41.42,1.24,-27.09,0,0.0,127322.67,0.0
Z-REGIME_PURE,Bot Z Régime pur,2016-2026,53.03,1.48,-26.48,0,0.0,279863.06,0.0
Z-ENHANCED,Bot Z v1 — MO+CB,2016-2026,52.59,1.56,-25.67,0,0.0,271927.0,0.0
Z-OMEGA,Bot Z v2 — QualityScore,2016-2026,50.47,2.08,-9.94,0,0.0,236472.47,0.0
Z-OMEGA_V2,Bot Z v3 — RiskParity,2016-2026,20.9,1.93,-5.07,0,0.0,24040.8,0.0
Z-META_V2,Bot Z PROD — Meta v2,2016-2026,38.19,1.92,-10.08,0,0.0,84985.06,0.0
